City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
35,Longyearbyen,SJ,2023-01-16 01:53:55,78.2186,15.6401,17.44,67,40,21.85
36,Kapaa,US,2023-01-16 01:53:55,22.0752,-159.319,78.78,75,64,4.0
37,Khatanga,RU,2023-01-16 01:53:56,71.9667,102.5,-53.23,99,54,4.07
38,Oeiras Do Para,BR,2023-01-16 01:53:56,-2.0031,-49.8544,71.49,98,100,1.79
39,Port Alfred,ZA,2023-01-16 01:53:57,-33.5906,26.891,70.18,90,99,1.99
40,Hobart,AU,2023-01-16 01:53:24,-42.8794,147.3294,68.27,52,40,12.66
41,Port Hardy,CA,2023-01-16 01:53:57,50.6996,-127.4199,44.78,100,100,0.0
42,Bluff,NZ,2023-01-16 01:53:58,-46.6,168.3333,66.61,63,29,5.82
43,Vila Velha,BR,2023-01-16 01:53:58,-20.3297,-40.2925,76.95,89,20,6.91
44,Mangai,CD,2023-01-16 01:53:59,-4.05,19.5333,68.34,98,100,1.9
45,Wajima,JP,2023-01-16 01:53:59,37.4,136.9,36.28,100,75,3.44
46,Carnarvon,AU,2023-01-16 01:53:59,-24.8667,113.6333,77.58,60,0,22.91
47,Saskylakh,RU,2023-01-16 01:54:00,71.9167,114.0833,-39.5,97,100,3.96
48,Havoysund,NO,2023-01-16 01:55:00,70.9963,24.6622,28.63,85,100,13.65
49,Beringovskiy,RU,2023-01-16 01:50:42,63.05,179.3167,-5.33,91,100,18.97
50,Muroto,JP,2023-01-16 01:55:01,33.2833,134.15,56.79,73,87,14.38
51,Chokurdakh,RU,2023-01-16 01:55:02,70.6333,147.9167,-17.72,90,6,12.39
52,Hermanus,ZA,2023-01-16 01:55:02,-34.4187,19.2345,71.8,79,96,18.01
53,Terney,RU,2023-01-16 01:50:52,45.0503,136.6092,8.4,51,0,10.27
54,Stornoway,GB,2023-01-16 01:49:12,58.2093,-6.3865,30.92,91,75,11.5
55,Victoria,HK,2023-01-16 01:53:34,22.2855,114.1577,56.25,71,94,13.0
56,Aviles,ES,2023-01-16 01:55:04,43.5547,-5.9248,52.38,80,75,23.02
57,Olinda,BR,2023-01-16 01:55:05,-8.0089,-34.8553,80.33,74,75,6.91
58,Cairns,AU,2023-01-16 01:54:31,-16.9167,145.7667,85.95,70,75,12.66
59,Ilulissat,GL,2023-01-16 01:55:08,69.2167,-51.1,6.33,95,100,9.31
60,Gronau,DE,2023-01-16 01:55:09,52.2,7.0333,41.13,86,99,13.78
61,Goulburn,AU,2023-01-16 01:55:10,-34.75,149.7167,78.15,48,95,12.17
62,Sorland,NO,2023-01-16 01:55:10,67.667,12.6934,35.46,59,100,10.22
63,Shimoda,JP,2023-01-16 01:55:12,34.6667,138.95,52.16,68,100,16.82
64,East London,ZA,2023-01-16 01:55:13,-33.0153,27.9116,70.86,88,100,8.03
65,Albany,US,2023-01-16 01:55:14,42.6001,-73.9662,22.23,78,8,1.01
66,Chilca,PE,2023-01-16 01:55:15,-12.5211,-76.7372,68.99,83,84,3.67
67,Punta Arenas,CL,2023-01-16 01:53:31,-53.15,-70.9167,51.91,71,0,25.32
68,Gulariya,NP,2023-01-16 01:55:17,28.2333,81.3333,44.19,68,100,2.19
69,Akyab,MM,2023-01-16 01:55:18,20.15,92.9,66.69,63,0,6.76
70,Vaini,TO,2023-01-16 01:55:18,-21.2,-175.2,80.76,94,75,8.05
71,Torbay,CA,2023-01-16 01:55:20,47.6666,-52.7314,33.39,95,100,19.57
72,Waipawa,NZ,2023-01-16 01:55:21,-41.4122,175.5153,70.74,53,41,7.45
73,Alice Springs,AU,2023-01-16 01:52:23,-23.7,133.8833,89.15,40,5,12.66
74,Mana,GF,2023-01-16 01:55:22,5.6592,-53.7767,74.14,92,100,5.86
75,Yellowknife,CA,2023-01-16 01:53:09,62.456,-114.3525,1.92,85,100,4.61
76,Barrow,US,2023-01-16 01:55:23,71.2906,-156.7887,-18.38,83,75,14.97
77,Richards Bay,ZA,2023-01-16 01:55:24,-28.783,32.0377,71.22,95,2,4.9
78,Farmington,US,2023-01-16 01:55:25,36.7281,-108.2187,36.16,86,35,5.01
79,Revelstoke,CA,2023-01-16 01:55:25,50.9832,-118.2023,33.82,100,100,0.0
80,Lebu,CL,2023-01-16 01:55:26,-37.6167,-73.65,55.58,83,96,19.04
81,Saint-Pierre,RE,2023-01-16 01:43:55,-21.3393,55.4781,77.92,69,0,8.05
82,Arlit,NE,2023-01-16 01:55:28,18.7369,7.3853,60.03,23,0,5.68
83,Sohbatpur,PK,2023-01-16 01:55:29,28.5202,68.5434,44.44,16,0,2.89
84,Cabo San Lucas,MX,2023-01-16 01:54:32,22.8909,-109.9124,73.06,66,59,13.82
85,Bemidji,US,2023-01-16 01:53:02,47.4736,-94.8803,33.57,96,0,4.61
86,Atar,MR,2023-01-16 01:55:31,20.5169,-13.0499,67.19,19,2,10.11
87,Carlsbad,US,2023-01-16 01:52:29,33.1581,-117.3506,56.95,90,100,5.75
