City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,weather_description
540,Kemijarvi,FI,66.7131,27.4306,31.96,98,100,11.45,light snow
541,Santa Flavia,IT,38.085,13.5351,59.38,65,99,15.01,overcast clouds
542,Wattegama,LK,6.7989,81.4808,72.09,93,76,3.98,light rain
543,Mayumba,GA,-3.432,10.6554,77.11,87,100,3.29,moderate rain
544,Polunochnoye,RU,60.8697,60.4153,2.95,83,23,5.39,few clouds
545,Weston,US,26.1004,-80.3998,68.02,49,0,5.75,clear sky
546,Ondangwa,NA,-17.9167,15.95,72.3,74,100,13.85,moderate rain
547,Vallenar,CL,-28.5708,-70.7581,75.31,42,0,6.44,clear sky
548,Namibe,AO,-15.1961,12.1522,73.51,79,93,4.29,overcast clouds
549,Constitucion,CL,-35.3333,-72.4167,61.21,72,41,10.02,scattered clouds
550,Byron Bay,AU,-28.65,153.6167,77.94,69,73,8.52,broken clouds
551,Valdivia,CL,-39.8142,-73.2459,71.69,45,75,2.15,broken clouds
552,Laguna Beach,US,33.5423,-117.7831,60.13,78,75,18.01,broken clouds
553,Inirida,CO,3.8653,-67.9239,75.56,90,100,0.38,overcast clouds
554,Malakal,SS,9.5334,31.6605,77.77,18,7,8.61,clear sky
555,San Luis,AR,-33.295,-66.3356,85.71,26,11,10.22,few clouds
556,Ucluelet,CA,48.9329,-125.5528,47.08,93,100,1.01,overcast clouds
557,Kyra,RU,49.5776,111.9753,-10.05,82,79,5.39,broken clouds
558,Beira,MZ,-19.8436,34.8389,76.84,90,100,5.68,moderate rain
559,Tazovskiy,RU,67.4667,78.7,-26.28,97,34,7.81,scattered clouds
560,Kudahuvadhoo,MV,2.6708,72.8944,79.23,76,82,4.65,broken clouds
561,Kez,RU,57.8979,53.7152,5.54,89,8,7.65,clear sky
562,Kidero,RU,42.1932,45.9614,15.22,77,69,3.85,broken clouds
563,San Ramon De La Nueva Oran,AR,-23.1322,-64.326,96.42,28,75,1.83,light rain
564,Karagay,RU,58.2667,54.9368,5.56,88,11,8.93,few clouds
565,Adelaide,AU,-34.9333,138.6,94.91,31,0,21.85,clear sky
566,Hit,IQ,33.6416,42.8251,52.65,69,28,4.76,scattered clouds
567,Chimbote,PE,-9.0853,-78.5783,71.47,73,44,8.39,scattered clouds
568,Andenes,NO,69.3143,16.1194,32.94,86,40,8.05,scattered clouds
569,Vitim,RU,59.4511,112.5578,-54.53,100,65,1.01,broken clouds
570,Comodoro Rivadavia,AR,-45.8667,-67.5,66.81,45,100,12.19,overcast clouds
571,Buluang,PH,13.3068,123.3425,75.51,93,96,3.91,overcast clouds
572,Saint Joseph,US,39.7686,-94.8466,52.25,59,0,11.5,clear sky
573,Tekeli,KZ,44.83,78.8239,12.0,62,0,8.32,clear sky
574,Souillac,MU,-20.5167,57.5167,76.78,75,84,14.72,broken clouds
575,Strezhevoy,RU,60.7333,77.5889,5.23,98,99,6.71,overcast clouds
576,Karasuk,RU,53.7377,78.0403,9.01,97,93,8.34,overcast clouds
577,Simbahan,PH,6.3032,120.5836,81.55,75,56,6.46,broken clouds
578,Khasan,RU,42.4308,130.6434,14.81,59,36,1.9,scattered clouds
579,Norilsk,RU,69.3535,88.2027,-34.58,84,3,4.05,clear sky
580,Lasa,IT,46.6166,10.7002,26.69,91,92,4.41,overcast clouds
581,Vernon,CA,50.2581,-119.2691,43.61,88,82,1.01,broken clouds
582,Dhidhdhoo,MV,6.8833,73.1,80.22,75,18,12.88,few clouds
583,Brainerd,US,46.358,-94.2008,34.09,86,100,10.36,mist
584,Solnechnyy,RU,50.7214,136.6319,-22.76,95,77,2.84,broken clouds
585,Berdigestyakh,RU,62.0989,126.6992,-45.54,99,100,0.11,overcast clouds
586,Lata,PT,40.1629,-8.3327,55.08,94,99,17.67,light rain
587,Kralendijk,BQ,12.15,-68.2667,78.78,78,40,8.05,scattered clouds
588,Boueni,YT,-12.9025,45.0761,78.78,71,28,1.86,scattered clouds
589,Manama,BH,26.2154,50.5832,67.98,89,57,9.22,broken clouds
590,Saint-Pierre,RE,-21.3393,55.4781,78.91,65,0,6.91,clear sky
591,Lukiv,UA,51.0521,25.4006,37.38,88,100,13.2,overcast clouds
592,Tecoanapa,MX,16.5167,-98.75,81.88,63,3,9.35,clear sky
593,West Kilbride,GB,55.6833,-4.85,29.73,88,65,3.0,broken clouds
594,Lhokseumawe,ID,5.1801,97.1507,76.03,83,100,4.23,overcast clouds
595,Sembakung,ID,3.8167,117.25,73.38,98,71,1.12,broken clouds
596,Kurtamysh,RU,54.9103,64.4319,0.25,83,10,5.41,clear sky
597,Patiya,BD,22.2931,91.9762,54.97,74,0,5.26,clear sky
598,Inhapim,BR,-19.5492,-42.12,69.6,85,22,3.71,few clouds
599,Shetpe,KZ,44.1667,52.1167,25.12,39,52,10.02,broken clouds
600,Lumeje,AO,-11.55,20.7833,63.99,95,100,4.45,overcast clouds
601,Mae Chan,TH,20.1467,99.8526,54.23,66,1,1.61,clear sky
602,Samana,DO,19.2056,-69.3369,75.16,69,2,6.93,clear sky
603,Machiques,VE,10.0644,-72.545,80.6,65,48,4.88,scattered clouds
604,Emerald,AU,-23.5333,148.1667,71.35,83,100,14.97,overcast clouds
605,Trzebiatow,PL,54.0615,15.2648,37.04,78,100,19.98,overcast clouds
606,Katangli,RU,51.7102,143.2326,-30.44,100,92,3.38,overcast clouds
607,Gorontalo,ID,0.5412,123.0595,76.64,92,61,2.13,broken clouds
608,Sotnikovskoye,RU,45.0039,43.7772,30.51,97,15,9.53,few clouds
609,Samarai,PG,-10.6167,150.6667,80.28,76,100,4.36,light rain
610,Vinzili,RU,56.9594,65.7708,10.71,86,32,7.34,scattered clouds
611,Sola,VU,-13.8833,167.55,81.3,76,100,11.79,overcast clouds
612,San Lawrenz,MT,36.0553,14.204,59.86,82,48,1.99,scattered clouds
613,Mandera,KE,3.9366,41.867,77.45,27,98,9.8,overcast clouds
614,Camana,PE,-16.6228,-72.7111,72.43,77,68,5.19,broken clouds
615,Atambua,ID,-9.1061,124.8925,76.78,80,95,0.25,overcast clouds
616,Russell,US,32.3502,-85.1999,61.83,35,0,3.44,clear sky
617,Pilna,RU,55.5539,45.9219,8.64,89,12,10.8,few clouds
618,Kadirli,TR,37.3739,36.0961,48.78,83,100,7.18,overcast clouds
619,Ilek,RU,51.5271,53.3831,4.17,82,88,9.01,overcast clouds
620,Caibarien,CU,22.5206,-79.4669,67.32,66,0,9.01,clear sky
621,Tanout,NE,14.9709,8.8879,60.04,25,10,13.09,clear sky
622,Roma,US,43.2128,-75.4557,29.95,68,0,3.44,clear sky
623,Colwyn Bay,GB,53.2948,-3.7267,37.74,37,76,3.0,broken clouds
624,Klyuchi,RU,52.2667,79.1667,14.2,95,100,9.19,light snow
625,Novobiryusinskiy,RU,56.9578,97.7076,14.83,92,100,10.29,light snow
626,Winnemucca,US,40.973,-117.7357,37.45,70,100,10.36,overcast clouds
627,Szekkutas,HU,46.5,20.5333,43.12,77,97,18.48,overcast clouds
628,Ambilobe,MG,-13.2,49.05,71.62,95,98,1.9,overcast clouds
629,Fuzhou,CN,26.0614,119.3061,44.96,84,100,2.13,overcast clouds
630,Kimbe,PG,-5.5502,150.1429,78.03,87,100,0.96,overcast clouds
631,Filingue,NE,14.3521,3.3168,68.11,15,51,10.02,broken clouds
632,Borovoy,RU,55.4333,86.0833,11.48,79,100,17.9,light snow
633,Belmonte,BR,-15.8631,-38.8828,76.15,84,24,7.43,few clouds
634,Paraiso,CR,9.8383,-83.8656,72.46,91,86,3.65,overcast clouds
635,Saint-Raphael,HT,19.4333,-72.2,63.25,74,0,5.19,clear sky
636,Trapani,IT,37.8333,12.6667,54.9,82,100,19.1,overcast clouds
637,Dunedin,NZ,-45.8742,170.5036,66.79,60,65,4.0,broken clouds
638,Kinablangan,PH,7.6947,126.5503,79.0,83,99,1.79,overcast clouds
639,San Policarpo,PH,12.1791,125.5072,79.0,87,88,0.47,overcast clouds
640,Maningrida,AU,-12.0667,134.2667,79.47,86,100,5.64,light rain
641,Sungairaya,ID,0.7,108.9,74.98,89,69,7.11,broken clouds
642,Hamilton,US,39.1834,-84.5333,43.65,86,100,11.5,light rain
643,Bend,US,44.0582,-121.3153,42.66,58,0,1.99,clear sky
644,Houma,US,29.5958,-90.7195,70.0,84,75,11.5,broken clouds
645,Opuwo,NA,-18.0607,13.84,70.56,65,100,8.66,overcast clouds
646,Mbandaka,CD,0.0487,18.2603,71.82,91,94,4.88,overcast clouds
647,Innisfail,AU,-17.5333,146.0333,76.35,92,100,4.41,light rain
648,Banikoara,BJ,11.2985,2.4386,72.03,21,17,5.79,few clouds
649,Zhongshu,CN,24.5167,103.7667,35.67,87,100,4.07,overcast clouds
650,Abu Samrah,SY,35.3029,37.1841,48.96,89,100,0.76,overcast clouds
651,Kenai,US,60.5544,-151.2583,31.08,93,100,14.97,overcast clouds
652,Gat,IL,31.61,34.7642,54.39,100,37,5.28,scattered clouds
653,Uyskoye,RU,54.3775,60.0047,-7.38,89,10,2.91,clear sky
654,Bang Saphan,TH,11.2126,99.5117,68.32,86,100,2.95,overcast clouds
655,Chuari Khas,IN,32.4333,76.0167,39.69,35,0,7.0,clear sky
656,Cosala,MX,24.4125,-106.6908,79.41,21,0,5.35,clear sky
657,Alugan,PH,12.2188,125.4808,78.96,87,87,0.54,overcast clouds
658,Aswan,EG,24.0934,32.907,56.12,49,39,7.58,scattered clouds
659,Saint-Louis,SN,16.3333,-15.0,80.04,13,100,9.91,overcast clouds
660,Mindelo,CV,16.8901,-24.9804,72.25,79,99,14.36,overcast clouds
661,Sabha,LY,27.0377,14.4283,52.9,39,0,5.73,clear sky
662,Zhanaozen,KZ,43.3,52.8,23.86,42,10,12.12,clear sky
663,Kuandian,CN,40.7286,124.7847,7.93,61,11,2.93,few clouds
664,Okha,RU,53.5739,142.9478,-36.94,99,34,6.15,scattered clouds
665,Ossora,RU,59.2353,163.0719,-8.23,88,78,5.19,broken clouds
666,Sainte-Maxime,FR,43.3,6.6333,50.02,56,100,12.01,overcast clouds
667,Kananga,CD,-5.8958,22.4178,68.16,98,100,3.02,light rain
668,Mozarlandia,BR,-14.7447,-50.5706,74.17,89,73,3.98,broken clouds
